	GeneID	count	gene_symbol
24285	642443	3	ADH5P4
24286	642446	3	TRIM64B
24287	642451	1	RPL7P46
24288	642475	8	MROH6
24289	642484	1	LOC642484
24290	642493	1	RPL29P25
24291	642502	3	LOC642502
24292	642513	1	KCTD9P6
24293	642515	1	PRRT1B
24294	642517	5	AGAP9
24295	642521	1	C1DP3
24296	642531	2	RPL36P11
24297	642546	4	HK2P1
24298	642559	6	POU5F1P3
24299	642569	1	TRIM53AP
24300	642574	20	IQANK1
24301	642579	1	LOC642579
24302	642585	6	VDAC1P1
24303	642587	13	MIR205HG
24304	642597	3	AKAIN1
24305	642612	8	TRIM49C
24306	642623	4	UBTFL1
24307	642633	8	FAM230B
24308	642636	9	RAD21L1
24309	642641	1	RPSAP54
24310	642643	1	FAM230E
24311	642658	26	SCX
24312	642659	1	HNRNPA1L3
24313	642687	1	RPS11P7
24314	642692	1	CEP19P1
24315	642696	3	LOC642696
24316	642738	1	RPL21P69
24317	642740	1	RPL9P11
24318	642741	1	RPL3P7
24319	642757	3	TBC1D22A-AS1
24320	642762	1	ABCD1P5
24321	642776	4	DANT2
24322	642778	2	NPIPA3
24323	642791	1	EEF1A1P49
24324	642796	1	TSPY18P
24325	642797	2	DNAH10OS
24326	642799	3	NPIPA2
24327	642812	2	API5P1
24328	642819	3	ZNF487
24329	642826	6	BMS1P2
